EVENT_ID  ISSUE_ID  TYPE        CREATION_DATE                ACTOR               TITLE
​ 4015186041 108571 | milestoned | 2020-11-19T10:50:11Z | bpasero | Preserve per-window environment variables between workspace changes
​ 4015186038 108571 | demilestoned | 2020-11-19T10:50:11Z | bpasero | Preserve per-window environment variables between workspace changes
​ 4015185975 110927 | unassigned | 2020-11-19T10:50:10Z | weinand | Please suppress duplicate threads requests
​ 4015185853 108571 | assigned | 2020-11-19T10:50:08Z | bpasero | Preserve per-window environment variables between workspace changes
​ 4015185727 110927 | assigned | 2020-11-19T10:50:06Z | isidorn | Please suppress duplicate threads requests
​ 4015185067 110666 | labeled | 2020-11-19T10:49:56Z | github-actions[bot] | auto suggestion order is reset after using custom snippet..Last used snippet is not on the top
​ 4015180944 110666 | labeled | 2020-11-19T10:48:56Z | vscode-triage-bot | auto suggestion order is reset after using custom snippet..Last used snippet is not on the top
​ 4015180913 110666 | labeled | 2020-11-19T10:48:55Z | jrieken | auto suggestion order is reset after using custom snippet..Last used snippet is not on the top
​ 4015180066 110933 | labeled | 2020-11-19T10:48:42Z | vscode-triage-bot | 可以拖拽项目中的文件生成单独页面进行编写
​ 4015180028 110933 | labeled | 2020-11-19T10:48:41Z | vscode-triage-bot | 可以拖拽项目中的文件生成单独页面进行编写
​ 4015179074 110666 | closed | 2020-11-19T10:48:27Z | jrieken | auto suggestion order is reset after using custom snippet..Last used snippet is not on the top
​ 4015176365 110933 | labeled | 2020-11-19T10:47:47Z | vscode-triage-bot | 可以拖拽项目中的文件生成单独页面进行编写
​ 4015173722 110666 | milestoned | 2020-11-19T10:47:10Z | jrieken | auto suggestion order is reset after using custom snippet..Last used snippet is not on the top
​ 4015173554 98954 | subscribed | 2020-11-19T10:47:07Z | deepak1556 | Mac os stuck in full screen mode
​ 4015173545 98954 | mentioned | 2020-11-19T10:47:07Z | deepak1556 | Mac os stuck in full screen mode
​ 4015173308 110666 | labeled | 2020-11-19T10:47:04Z | jrieken | auto suggestion order is reset after using custom snippet..Last used snippet is not on the top
​ 4015173304 110666 | labeled | 2020-11-19T10:47:04Z | jrieken | auto suggestion order is reset after using custom snippet..Last used snippet is not on the top
​ 4015173301 110666 | unlabeled | 2020-11-19T10:47:04Z | jrieken | auto suggestion order is reset after using custom snippet..Last used snippet is not on the top
​ 4015142349 110932 | labeled | 2020-11-19T10:39:56Z | vscode-triage-bot | code color
​ 4015142337 110932 | unlabeled | 2020-11-19T10:39:56Z | vscode-triage-bot | code color
​ 4015140057 110932 | labeled | 2020-11-19T10:39:27Z | vscode-triage-bot | code color
​ 4015094478 110930 | subscribed | 2020-11-19T10:29:03Z | isidorn | Undo/redo, bulk edit and onWill-file events
​ 4015094469 110930 | mentioned | 2020-11-19T10:29:03Z | isidorn | Undo/redo, bulk edit and onWill-file events
​ 4015093931 110930 | milestoned | 2020-11-19T10:28:55Z | jrieken | Undo/redo, bulk edit and onWill-file events
​ 4015092481 110930 | subscribed | 2020-11-19T10:28:35Z | bpasero | Undo/redo, bulk edit and onWill-file events
​ 4015092474 110930 | mentioned | 2020-11-19T10:28:35Z | bpasero | Undo/redo, bulk edit and onWill-file events
​ 4015091039 110930 | review_requested | 2020-11-19T10:28:17Z | jrieken | Undo/redo, bulk edit and onWill-file events
​ 4015087761 110930 | assigned | 2020-11-19T10:27:33Z | jrieken | Undo/redo, bulk edit and onWill-file events
​ 4015050636 110847 | closed | 2020-11-19T10:19:20Z | aeschli | Why only for python?
​ 4014980512 110927 | assigned | 2020-11-19T10:04:55Z | weinand | Please suppress duplicate threads requests
 4014961732 110323 | labeled | 2020-11-19T10:01:04Z | deepak1556 | Code Helper (Renderer) CPU usage is crippling entire team
 4014961730 110323 | labeled | 2020-11-19T10:01:04Z | deepak1556 | Code Helper (Renderer) CPU usage is crippling entire team
 4014961725 110323 | labeled | 2020-11-19T10:01:04Z | deepak1556 | Code Helper (Renderer) CPU usage is crippling entire team
 4014957592 110323 | subscribed | 2020-11-19T10:00:10Z | BuckAMayzing | Code Helper (Renderer) CPU usage is crippling entire team
 4014957587 110323 | mentioned | 2020-11-19T10:00:10Z | BuckAMayzing | Code Helper (Renderer) CPU usage is crippling entire team
 4014952417 110847 | assigned | 2020-11-19T09:59:01Z | aeschli | Why only for python?
 4014952407 110847 | unassigned | 2020-11-19T09:59:01Z | alexr00 | Why only for python?
 4014946035 109510 | assigned | 2020-11-19T09:57:37Z | alexdima | new function 
 4014945923 109510 | milestoned | 2020-11-19T09:57:36Z | alexdima | new function 
 4014945921 109510 | demilestoned | 2020-11-19T09:57:36Z | alexdima | new function 
 4014945845 109510 | labeled | 2020-11-19T09:57:35Z | vscode-triage-bot | new function 
 4014944694 110333 | milestoned | 2020-11-19T09:57:17Z | chrmarti | Feature request: Clone repository option on welcome page
 4014944389 110333 | labeled | 2020-11-19T09:57:13Z | chrmarti | Feature request: Clone repository option on welcome page
 4014944387 110333 | unlabeled | 2020-11-19T09:57:13Z | chrmarti | Feature request: Clone repository option on welcome page
 4014944323 110655 | closed | 2020-11-19T09:57:12Z | alexr00 | Tasks variables not being resolved correctly 
 4014943715 109511 | closed | 2020-11-19T09:57:04Z | alexdima | add 'deleteWordEntire' command
 4014943701 109510 | closed | 2020-11-19T09:57:04Z | alexdima | new function 
 4014943660 109511 | merged | 2020-11-19T09:57:03Z | alexdima | add 'deleteWordEntire' command
 4014943656 109511 | referenced | 2020-11-19T09:57:03Z | alexdima | add 'deleteWordEntire' command
 4014943484 110333 | closed | 2020-11-19T09:57:01Z | chrmarti | Feature request: Clone repository option on welcome page
 4014942469 109511 | milestoned | 2020-11-19T09:56:46Z | alexdima | add 'deleteWordEntire' command
 4014921218 101555 | subscribed | 2020-11-19T09:52:07Z | mjbvz | Code Helper (Renderer) uses 100% of CPU in background but nothing is open
 4014921213 101555 | mentioned | 2020-11-19T09:52:07Z | mjbvz | Code Helper (Renderer) uses 100% of CPU in background but nothing is open
 4014921207 101555 | subscribed | 2020-11-19T09:52:07Z | esprehn | Code Helper (Renderer) uses 100% of CPU in background but nothing is open
 4014921203 101555 | mentioned | 2020-11-19T09:52:07Z | esprehn | Code Helper (Renderer) uses 100% of CPU in background but nothing is open
 4014804937 92791 | milestoned | 2020-11-19T09:26:19Z | aeschli | [themes] Add product icon themes
 4014804935 92791 | demilestoned | 2020-11-19T09:26:19Z | aeschli | [themes] Add product icon themes
 4014804747 110878 | labeled | 2020-11-19T09:26:17Z | vscode-triage-bot | Weird on-type-rename-decoration
 4014803734 110926 | unassigned | 2020-11-19T09:26:02Z | weinand | Extension host did not start in 10 seconds, it might be stopped on the first line and needs a debugger to continue.
 4014803482 110926 | labeled | 2020-11-19T09:25:59Z | weinand | Extension host did not start in 10 seconds, it might be stopped on the first line and needs a debugger to continue.
 4014803124 110926 | assigned | 2020-11-19T09:25:54Z | connor4312 | Extension host did not start in 10 seconds, it might be stopped on the first line and needs a debugger to continue.
 4014800999 110878 | labeled | 2020-11-19T09:25:24Z | aeschli | Weird on-type-rename-decoration
 4014800492 110878 | labeled | 2020-11-19T09:25:17Z | aeschli | Weird on-type-rename-decoration
 4014800458 110878 | closed | 2020-11-19T09:25:16Z | aeschli | Weird on-type-rename-decoration
 4014800050 110878 | milestoned | 2020-11-19T09:25:12Z | aeschli | Weird on-type-rename-decoration
 4014799147 110923 | closed | 2020-11-19T09:25:00Z | vscode-triage-bot | FileSystemWatcher.onDidDelete doesn't fire event when the folder containing watched file is deleted directly
 4014796386 110923 | labeled | 2020-11-19T09:24:22Z | bpasero | FileSystemWatcher.onDidDelete doesn't fire event when the folder containing watched file is deleted directly
 4014790685 110925 | head_ref_deleted | 2020-11-19T09:23:01Z | jrieken | add support to reuse undo-redo group when applying a nested bulk edit
